sk_pedido,sk_cliente,sk_produto,valor_venda,qtd_vendida,custo_envio,valor_unit
73,73,819,3427.1496,7,586.57,489.5928
74,74,88,3441.69,6,585.25,573.615
75,50,515,2863.35,5,581.88,572.67
76,75,3,6354.95,5,581.12,1270.99
77,76,273,1487.4,10,580.98,148.74
78,77,102,3200.04,9,576.71,355.56
79,78,584,2301.0,5,573.27,460.2
80,79,192,5729.346,14,572.95,409.239
81,80,30,5301.24,14,568.45,378.65999999999997
82,81,31,5443.96,4,567.95,1360.99
83,82,14,4416.174,9,566.65,490.686
84,41,33,3219.9,5,564.25,643.98
85,83,393,2487.8088,6,562.14,414.6348
86,84,62,2266.44,4,556.45,566.61
87,85,632,3068.361,9,555.77,340.929
88,86,179,3728.43,9,553.31,414.27
89,87,20,1581.48,6,550.74,263.58
57,57,306,1916.73,3,548.4,638.91
90,88,32,1685.88,6,548.08,280.98
91,89,74,2432.16,5,546.9,486.43199999999996
92,90,33,3863.88,6,546.56,643.98
93,91,158,2465.82,7,546.49,352.26000000000005
94,92,819,1847.52,2,545.89,923.76
95,93,179,2899.89,7,541.59,414.27
96,89,10,2891.7,7,541.57,413.09999999999997
97,94,494,2016.846,9,540.77,224.094
98,95,152,3155.544,7,539.94,450.792
99,96,33,3856.14,6,533.99,642.6899999999999
100,97,376,3524.472,6,531.28,587.412
101,98,65,2167.296,4,531.09,541.824
102,56,185,2556.0,6,530.49,426.0
103,99,34,1469.25,5,527.87,293.85
104,39,6,4448.832,8,527.85,556.104
105,100,35,2036.86,7,524.76,290.97999999999996
106,100,159,2472.66,9,523.47,274.74
107,101,354,3739.176,8,522.79,467.397
108,102,36,2570.865,11,520.89,233.71499999999997
109,32,37,9099.93,7,516.91,1299.99
110,103,57,2875.77,9,516.63,319.53
111,104,120,1741.8,4,515.24,435.45
112,51,38,1601.64,5,511.47,320.32800000000003
113,105,39,3670.8,7,510.72,524.4
114,106,40,2973.32,7,510.18,424.76000000000005
115,107,307,1900.95,5,506.89,380.19
116,108,41,1261.33,7,506.49,180.19
117,109,10,4544.1,11,506.27,413.1
118,110,68,1455.12,4,504.56,363.78
119,111,42,1943.19,6,499.62,323.865
120,112,43,6999.96,4,499.55,1749.99
121,113,44,9892.74,13,498.7,760.98
122,23,2372,1695.87,5,498.62,339.174
123,85,1664,1505.979,6,498.52,250.9965
124,114,376,1954.17,3,498.38,651.39
125,115,45,2244.48,7,498.14,320.64
126,116,46,8399.976,4,498.08,2099.994
127,117,47,1628.82,9,496.46,180.98
128,118,644,1213.18876,7,493.41,173.31268
129,119,627,1590.6,5,493.2,318.12
130,120,48,2330.64,9,492.79,258.96
131,121,49,3278.5848,8,492.28,409.8231
132,68,33,3741.5238,7,491.91,534.5033999999999
133,122,50,1603.136,4,489.6,400.784
134,94,236,3637.602,10,487.86,363.7602
135,123,835,2455.88,7,487.48,350.84000000000003
136,124,51,1024.68,8,487.32,128.085
137,125,52,2807.84,8,487.15,350.98
138,126,53,4476.8,4,485.47,1119.2
139,127,54,2297.96,14,483.26,164.14000000000001
140,128,329,2671.41,7,483.04,381.63
141,129,185,3834.0,6,481.04,639.0
142,29,55,2054.272,8,480.56,256.784
143,130,56,3501.7368,8,479.96,437.7171
144,131,57,1725.462,3,479.94,575.154
145,132,151,1583.7,5,479.67,316.74
146,133,58,1931.04,9,477.15,214.56
147,134,167,2760.345,7,475.34,394.335
148,92,59,3078.72,12,474.44,256.56
149,135,62,1983.135,7,473.27,283.305
150,136,289,1112.778,3,472.0,370.926
151,101,297,3616.5,10,471.92,361.65
152,137,60,3059.982,2,471.22,1529.991
153,138,33,2892.105,5,470.29,578.421
154,50,376,3263.4,5,469.29,652.6800000000001
155,139,61,2396.2656,4,469.16,599.0664
156,140,664,3117.088,13,466.7,239.776
157,141,17,4899.93,7,466.33,699.99
158,142,62,1888.7,5,465.92,377.74
159,143,112,3000.78,6,465.63,500.13000000000005
160,144,409,3801.63,7,465.02,543.09
161,145,376,5211.12,8,463.98,651.39
27,27,63,1356.03,3,458.97,452.01
162,146,62,3569.643,7,458.54,509.949
163,147,64,1287.45,5,457.14,257.49
164,148,236,2910.0816,8,456.32,363.7602
165,149,419,3126.4002,9,455.71,347.3778
166,150,108,5276.988,9,454.81,586.332
167,151,65,2645.376,5,452.6,529.0752
168,152,68,1637.01,5,452.28,327.402
169,153,66,4499.985,5,451.63,899.997
170,154,65,2645.376,5,451.03,529.0752
171,155,67,2399.6,8,449.45,299.95
172,137,682,3238.305,5,449.18,647.661
173,156,68,2291.814,7,448.91,327.402
174,157,88,2124.5,5,447.66,424.9
175,158,192,2757.78,6,446.33,459.63000000000005
176,159,69,1549.98,6,443.92,258.33
177,160,43,2624.985,3,443.69,874.995
178,161,39,3146.4,6,443.55,524.4
179,162,874,2456.619,11,442.49,223.329
180,117,1945,2228.6355,7,440.25,318.37649999999996
181,163,21,2999.95,5,439.69,599.99
182,164,112,4001.04,8,439.65,500.13
183,165,16,4876.875,9,439.41,541.875
184,166,1088,1788.822,6,439.03,298.137
42,42,24,3622.29,7,438.89,517.47
185,167,70,1242.585,5,437.85,248.517
186,168,97,4453.05,7,433.41,636.15
187,169,1940,2673.36,8,432.57,334.17
188,124,192,2046.195,5,432.15,409.239
189,170,71,5451.3,6,432.13,908.5500000000001
190,171,19,4535.976,3,431.68,1511.992
191,172,501,1722.2832,4,430.04,430.5708
192,173,72,2575.944,7,429.66,367.992
193,174,349,1007.424,2,428.83,503.712
194,156,73,2934.33,7,428.8,419.19
195,175,470,4624.29,9,427.46,513.81
196,176,699,1066.446,6,427.24,177.74099999999999
197,177,437,957.6,4,427.1,239.4
198,155,74,4864.32,10,426.09,486.43199999999996
199,178,75,2154.9,5,426.05,430.98
200,179,76,1433.8395,3,424.81,477.9465
201,180,77,2784.6,14,422.25,198.9
202,181,231,3063.27,7,419.38,437.61
203,182,78,3404.5,5,419.06,680.9
204,183,79,1606.23,9,418.26,178.47
205,184,185,2044.8,6,417.99,340.8
206,170,80,1214.85,3,417.47,404.95
207,185,749,1521.0,4,416.74,380.25
101,98,409,2443.905,5,416.33,488.78100000000006
208,186,81,1348.704,6,415.69,224.784
209,187,82,1141.8,10,415.01,114.17999999999999
210,188,401,1865.97,9,413.95,207.33
211,189,83,6998.64,11,413.8,636.24
212,190,84,1091.25,3,411.64,363.75
213,191,85,1094.22,3,411.06,364.74
214,192,164,1320.624,4,410.88,330.156
215,193,306,2555.64,4,410.22,638.91
216,194,1614,3498.72,8,410.05,437.34
217,195,21,1439.976,4,408.79,359.994
218,66,632,2272.86,6,406.53,378.81
219,160,376,5211.12,8,404.97,651.39
220,196,22,2582.16,4,404.08,645.54
221,197,306,3194.55,5,403.97,638.9100000000001
222,198,142,1704.996,4,403.46,426.249
223,199,666,1538.721,6,403.26,256.4535
197,177,135,1381.32,3,403.15,460.44
224,200,231,1181.547,3,401.25,393.849
225,201,86,1696.248,4,401.13,424.062
226,115,87,3359.952,6,400.6,559.9920000000001
227,202,5,4663.736,7,400.04,666.2479999999999
228,203,149,1237.56,4,400.03,309.39
229,204,88,1274.7,2,399.96,637.35
230,205,89,3172.14,9,399.85,352.46
231,206,90,4305.552,6,398.64,717.592
232,47,194,3979.29,7,398.5,568.47
233,207,91,1586.69,7,397.52,226.67000000000002
234,208,92,2395.2,6,396.92,399.2
235,209,25,1259.97,3,394.57,419.99
236,210,93,2058.0,4,393.62,514.5
237,211,94,2539.8765,7,393.58,362.8395
238,212,146,2898.21,7,393.46,414.03000000000003
239,213,1440,1320.0075,5,390.2,264.00149999999996
240,214,95,2171.16,8,390.09,271.395
241,215,307,4448.223,13,386.38,342.171
242,200,96,1913.4,9,386.21,212.60000000000002
243,216,57,2300.616,9,386.0,255.624
244,217,119,2615.94,6,384.41,435.99
245,113,102,1066.68,3,383.68,355.56
246,73,14,3504.9,5,383.35,700.98
247,218,97,2544.6,4,383.01,636.15
248,219,98,3694.68,4,382.77,923.67
249,220,63,2214.849,7,382.1,316.40700000000004
250,221,99,1236.48,4,381.22,309.12
251,222,1229,1805.9,5,381.14,361.18
252,128,60,3059.982,3,380.77,1019.994
234,208,100,1687.8,4,379.56,421.95
253,223,101,2715.93,7,378.83,387.98999999999995
254,224,409,1810.3,5,378.26,362.06
255,60,97,2120.5,5,377.7,424.1
256,225,16,1275.0,2,377.58,637.5
257,226,822,1593.648,7,377.03,227.664
258,227,113,1114.236,3,376.88,371.41200000000003
259,228,6,2944.08,5,376.58,588.816
260,229,424,3309.2598,7,374.8,472.7514
261,141,528,897.48,9,374.38,99.72
262,230,472,2056.05,5,372.5,411.21000000000004
263,231,102,2365.6592,10,372.32,236.56592
264,232,674,1336.356,7,371.74,190.908
265,233,534,3038.64,8,371.51,379.83
266,116,1013,2698.65,9,369.98,299.85
267,234,103,3799.08,12,369.73,316.59
268,235,517,2756.34,6,369.4,459.39000000000004
269,236,1197,983.88,8,369.17,122.985
270,237,86,1719.807,5,368.44,343.9614
271,48,470,1421.541,3,367.57,473.847
272,238,151,1053.6884,5,367.55,210.73768
273,239,104,1440.84,8,367.35,180.105
34,34,86,2544.372,6,366.89,424.06199999999995
274,240,105,2625.12,8,366.72,328.14
275,241,971,1554.48,8,366.58,194.31
276,242,185,1278.0,3,365.9,426.0
277,56,376,3474.08,8,365.65,434.26
278,243,16,2550.0,6,365.2,425.0
279,244,106,1101.48,4,364.76,275.37
280,245,3,1016.792,1,363.87,1016.792
281,156,107,1199.976,3,363.78,399.992
282,246,701,934.248,14,363.73,66.732
283,232,46,10499.97,3,363.19,3499.99
284,247,108,3908.88,6,363.16,651.48
285,248,33,2142.3,5,363.1,428.46000000000004
286,249,1038,1900.584,6,360.04,316.764
287,250,503,1840.68,6,359.58,306.78000000000003
288,22,1614,2624.04,6,359.28,437.34
289,186,1078,3076.5,7,359.27,439.5
290,251,306,3181.7718,6,359.09,530.2953
291,252,850,1392.633,11,358.96,126.60300000000001
292,253,859,1296.24,8,358.85,162.03
293,254,540,1682.91,3,358.51,560.97
294,41,185,1278.0,3,358.18,426.0
295,255,33,2570.76,4,357.89,642.69
296,256,570,2332.96,5,357.79,466.592
297,236,1078,1582.2,6,357.21,263.7
298,257,109,1801.632,6,356.88,300.272
299,258,1006,1512.0,6,356.84,252.0
300,117,110,695.7,2,356.68,347.85
301,259,16,2550.0,4,355.92,637.5
302,93,100,2025.36,6,355.61,337.56
303,260,301,2285.7,5,355.06,457.14
304,261,111,1029.2589,9,354.47,114.3621
305,262,627,1058.2792,5,354.42,211.65583999999998
306,263,57,5751.54,9,353.85,639.06
307,264,1113,2442.069,7,353.57,348.867
308,265,582,1190.52,6,353.42,198.42
309,266,112,3150.819,7,353.04,450.117
193,174,1607,1599.9,5,352.79,319.98
310,61,113,2063.4,5,352.64,412.68
311,267,114,1269.9,6,352.52,211.65
312,268,68,3274.02,9,351.08,363.78
255,60,83,848.32,2,351.07,424.16
313,269,115,3080.0,7,351.01,440.0
314,270,38,2847.36,8,350.68,355.92
315,14,584,1725.75,5,350.68,345.15
316,83,601,1479.3138,6,350.31,246.55229999999997
317,271,116,4899.93,7,350.09,699.99
318,272,917,1282.23,9,349.88,142.47
319,273,310,2478.6,6,349.87,413.09999999999997
320,274,46,17499.95,5,349.07,3499.9900000000002
321,275,830,959.76,3,348.48,319.92
1,1,117,1090.782,7,348.18,155.826
322,276,118,4135.641,10,348.08,413.56409999999994
323,277,119,2325.28,8,347.82,290.66
324,278,120,5486.67,14,346.6,391.90500000000003
325,279,131,1523.664,8,345.81,190.458
326,280,88,1625.2425,3,345.78,541.7475000000001
327,281,121,1319.96,4,345.77,329.99
328,8,285,734.94,4,344.98,183.735
329,256,122,2065.32,12,344.98,172.11
330,282,645,1391.52,8,344.5,173.94
331,283,123,1552.831,7,343.97,221.833
332,193,56,2461.06,7,343.81,351.58
333,284,25,2939.93,7,343.25,419.98999999999995
334,285,60,8159.952,8,342.11,1019.994
335,286,2102,1226.19,7,340.09,175.17000000000002
336,206,124,1809.255,5,339.47,361.851
337,251,125,1863.0,8,339.06,232.875
338,287,12,4548.81,7,338.56,649.83
339,288,699,1244.187,7,338.33,177.74099999999999
340,289,497,2364.102,4,338.1,591.0255
341,140,329,1946.313,6,337.93,324.38550000000004
342,290,126,895.92,5,337.16,179.184
343,291,127,2283.714,9,337.07,253.74599999999998
344,72,65,2549.76,4,336.65,637.44
345,292,601,3299.562,14,336.02,235.683
346,293,128,2489.4,9,335.95,276.6
347,294,129,3406.664,8,335.64,425.833
348,295,107,999.98,2,334.26,499.99
349,102,130,1189.242,9,334.23,132.138
350,296,21,2879.952,6,334.15,479.992
351,91,86,1269.6,4,333.15,317.4
352,297,16,3499.155,11,333.1,318.105
353,298,132,2993.025,5,333.06,598.605
354,248,1607,815.949,3,333.02,271.983
355,299,1123,1245.0,4,332.96,311.25
356,300,853,1027.728,8,332.2,128.466
357,113,625,1703.025,5,332.14,340.605
358,301,699,1803.0837,11,332.13,163.9167
359,302,580,676.485,5,330.51,135.297
360,303,1252,969.36,7,330.01,138.48
361,304,68,1637.01,5,329.73,327.402
362,305,102,1655.96144,7,329.58,236.56592
363,306,1923,976.96,4,328.66,244.24
364,43,466,731.34,2,328.35,365.67
365,307,1635,1239.0,4,327.94,309.75
366,308,135,1680.606,5,327.81,336.1212
367,298,167,2190.75,5,327.55,438.15
368,309,1143,935.172,4,327.11,233.793
369,310,561,1026.96,8,326.35,128.37
370,288,16,2550.0,4,326.32,637.5
371,311,104,1224.714,4,326.27,306.1785
372,312,391,2667.537,5,326.27,533.5074
115,107,108,2605.92,4,326.05,651.48
373,313,131,2962.68,14,325.93,211.61999999999998
374,314,1076,2664.0,5,325.54,532.8
375,315,250,1513.56,4,325.45,378.39
376,316,472,1233.63,3,325.32,411.21000000000004
377,317,132,855.15,1,325.04,855.15
378,318,133,956.34,4,324.98,239.085
379,319,109,1801.632,6,324.93,300.272
380,44,192,1838.52,5,324.09,367.704
381,320,33,4498.83,7,323.75,642.6899999999999
382,120,108,1824.144,8,321.54,228.018
383,321,1078,2344.0,8,321.42,293.0
384,101,1010,2043.72,14,321.36,145.98
385,247,134,856.8,14,321.23,61.199999999999996
386,312,356,2509.36,7,320.96,358.48
387,322,135,819.936,2,320.92,409.968
388,232,136,2797.248,6,320.38,466.208
389,323,582,1455.08,11,320.29,132.28
390,324,162,2189.0898,6,320.28,364.84830000000005
391,325,71,5451.3,6,320.27,908.5500000000001
392,326,22,1291.08,2,319.58,645.54
393,327,329,1526.52,4,319.53,381.63
394,328,137,1079.85,3,319.04,359.95
395,329,36,1869.72,6,318.17,311.62
396,330,1015,1815.24,7,318.08,259.32
397,231,830,959.76,3,317.81,319.92
398,331,376,3045.84,7,317.17,435.12
399,332,16,2125.0,5,316.76,425.0
287,250,914,976.08,4,316.66,244.02
400,333,103,1266.36,4,316.59,316.59
401,97,138,1458.65,5,315.73,291.73
402,334,139,2134.44,4,315.57,533.61
403,335,103,4748.436,14,315.29,339.174
404,336,1123,1867.5,6,314.81,311.25
405,115,1210,1001.7,6,314.7,166.95000000000002
406,337,140,899.136,4,314.38,224.784
407,338,141,663.92,5,314.27,132.784
408,339,658,4306.32,8,314.15,538.29
409,174,1013,899.55,3,313.71,299.84999999999997
410,340,2168,763.92,4,313.66,190.98
411,195,88,2544.24,4,313.58,636.06
412,341,142,1136.664,4,313.52,284.166
413,342,584,2301.0,5,313.45,460.2
414,343,108,3908.88,6,313.31,651.48
415,344,143,1951.84,8,312.22,243.98
416,345,144,2479.96,4,312.14,619.99
417,346,76,2249.16,4,311.14,562.29
418,347,1229,2528.26,7,310.75,361.18
419,209,664,1461.135,5,310.17,292.227
420,348,376,3045.84,7,309.75,435.12
421,349,14,3785.292,6,309.69,630.882
422,350,145,1399.93,7,309.52,199.99
423,351,146,2152.956,8,309.11,269.1195
424,301,358,1244.1,5,309.0,248.82
425,352,324,2226.816,9,308.66,247.42399999999998
426,353,49,1586.412,4,307.98,396.603
427,354,147,3040.0,8,307.85,380.0
428,355,470,3425.4,6,307.83,570.9
429,356,194,1136.94,2,307.43,568.47
430,344,516,677.6352,2,307.25,338.8176
431,357,466,731.34,2,305.98,365.67
432,358,148,3499.93,7,305.29,499.98999999999995
433,359,674,1272.72,4,305.27,318.18
434,360,149,1856.34,6,305.25,309.39
435,56,16,2295.0,4,305.2,573.75
436,361,97,1622.1825,3,305.16,540.7275
437,362,1069,1063.44,7,304.95,151.92000000000002
438,363,478,3449.88,14,304.75,246.42000000000002
439,364,153,585.456,3,304.53,195.15200000000002
440,365,209,1429.44,4,304.5,357.36
441,366,150,1057.8,2,304.36,528.9
364,43,516,1092.96,3,304.16,364.32
442,367,1681,1483.0,5,303.65,296.6
443,368,356,1792.4,5,303.63,358.48
444,369,718,2455.677,7,303.59,350.81100000000004
445,370,151,1900.44,6,303.45,316.74
446,371,185,3712.59,7,302.99,530.37
447,89,20,2372.22,9,302.82,263.58
448,372,97,5725.35,9,302.61,636.1500000000001
449,373,85,2553.18,7,302.55,364.73999999999995
450,374,152,2003.52,6,302.48,333.92
451,375,574,1188.36,4,302.14,297.09
452,376,306,2875.095,5,302.01,575.019
453,83,86,2380.5,5,301.73,476.1
454,377,1621,1619.1,10,301.73,161.91
455,378,62,2821.7178,6,301.26,470.2863
456,379,209,2991.1032,9,300.6,332.3448
457,117,1229,1798.6764,4,300.5,449.6691
458,380,16,2544.84,4,299.4,636.21
459,372,419,951.72,2,299.12,475.86
460,93,33,2575.92,4,298.83,643.98
461,381,62,1699.83,3,298.77,566.61
462,382,153,2634.552,8,298.63,329.319
463,383,1668,3707.352,11,298.44,337.032
464,360,196,4298.85,5,297.81,859.7700000000001
465,312,424,3417.48,6,297.2,569.58
466,30,154,2080.32,4,296.98,520.08
467,103,1412,840.6,5,296.68,168.12
468,384,44,1369.764,6,296.1,228.29399999999998
469,385,155,1288.8,10,296.08,128.88
470,386,130,660.69,5,296.01,132.138
471,387,815,3234.24,6,295.74,539.04
472,7,376,2171.3,5,294.97,434.26000000000005
473,83,2450,2074.734,9,294.73,230.52599999999998
474,388,88,849.8,2,294.57,424.9
475,175,119,1177.173,3,294.55,392.391
476,69,250,2270.34,6,294.25,378.39000000000004
477,389,156,2665.62,9,294.17,296.18
478,390,83,2863.08,9,293.78,318.12
479,391,296,1253.07,5,293.46,250.61399999999998
480,392,353,3369.24,6,293.12,561.54
481,393,914,1464.12,6,293.07,244.01999999999998
482,118,84,1273.125,7,291.93,181.875
483,213,157,1704.89,11,291.68,154.99
484,394,250,1258.7774,5,291.63,251.75547999999998
485,167,511,2584.008,7,291.06,369.14399999999995
486,83,253,1482.39,6,290.69,247.06500000000003
487,389,88,1274.7,3,290.52,424.90000000000003
488,83,55,1604.9,5,289.82,320.98
489,159,158,2818.08,9,289.52,313.12
490,395,335,1046.25,3,289.32,348.75
491,396,65,3187.2,5,289.17,637.4399999999999
492,397,135,4099.68,10,288.98,409.968
493,398,850,703.35,5,288.75,140.67000000000002
494,399,442,2293.488,8,288.63,286.686
495,400,1621,1238.6115,9,288.47,137.6235
496,287,517,1715.056,7,288.1,245.008
497,314,5,1665.62,2,287.77,832.81
498,401,142,2841.66,6,287.24,473.60999999999996
499,402,62,3399.66,12,286.87,283.305
500,137,232,1607.76,6,286.74,267.96
501,163,429,840.15,5,286.67,168.03
502,403,159,1236.33,3,286.57,412.10999999999996
503,345,918,2488.56,8,286.53,311.07
504,404,237,1124.256,7,286.46,160.608
505,362,160,3999.95,5,286.44,799.99
506,405,122,726.72,3,286.37,242.24
507,406,87,2799.96,5,286.3,559.992
508,407,813,1519.92,6,286.2,253.32000000000002
509,408,161,1279.32,4,286.19,319.83
49,49,742,723.3,5,286.01,144.66
510,409,33,642.69,1,285.83,642.69
511,403,84,2619.0,8,285.65,327.375
512,287,399,1704.87,6,285.61,284.145
513,111,725,1715.91,7,285.12,245.13000000000002
514,230,185,1278.0,2,284.81,639.0
515,410,536,1234.56,4,284.7,308.64
516,411,39,4195.2,8,284.51,524.4
517,412,162,1765.395,5,284.19,353.079
518,3,682,1480.368,3,283.93,493.45599999999996
102,56,16,2968.98,7,283.69,424.14
519,413,163,2301.138,7,283.36,328.734
520,414,164,1100.52,3,283.25,366.84
521,415,42,2518.95,7,283.09,359.84999999999997
522,312,1629,996.3,5,282.58,199.26
523,223,160,1919.976,3,282.43,639.9920000000001
524,416,165,922.95,1,282.09,922.95
525,417,472,1850.445,5,281.82,370.089
255,60,563,664.56,6,281.74,110.75999999999999
526,418,635,1547.1,6,280.54,257.84999999999997
527,131,1038,2190.951,5,280.47,438.1902
528,419,74,3242.88,9,279.53,360.32
529,420,2,2544.6,4,279.11,636.15
530,421,376,2605.56,4,278.98,651.39
531,159,155,1271.457,11,278.75,115.587
532,422,166,876.3,10,278.5,87.63
13,13,562,1207.56,4,278.34,301.89
533,423,362,2051.1,5,278.13,410.21999999999997
534,294,88,2544.24,6,277.93,424.03999999999996
535,12,156,1421.664,8,277.66,177.708
536,424,167,1314.45,3,277.29,438.15000000000003
537,177,168,3991.98,2,276.89,1995.99
538,425,967,980.32,2,276.71,490.16
539,426,21,1799.97,5,276.7,359.994
540,427,180,2470.5,6,276.29,411.75
541,428,169,1499.95,5,276.23,299.99
542,429,312,877.02,2,275.91,438.51
543,430,170,1618.37,13,275.6,124.49
544,431,290,1917.36,6,275.57,319.56
545,432,1496,2173.5,7,275.52,310.5
546,329,106,1927.59,7,274.82,275.37
547,433,1013,1799.1,6,274.75,299.84999999999997
548,201,453,1814.25,5,274.63,362.85
549,434,24,1293.675,5,274.58,258.735
550,137,213,2477.55,5,273.88,495.51000000000005
551,435,7,1399.944,7,273.79,199.992
552,436,297,723.3,2,273.63,361.65
553,437,257,2097.12,8,273.57,262.14
554,430,171,1350.12,6,273.44,225.01999999999998
555,438,74,3242.88,6,271.59,540.48
556,55,172,1044.63,5,271.32,208.92600000000002
557,314,90,1793.98,2,271.12,896.99
558,17,961,597.36,4,271.01,149.34
559,439,573,3955.14,14,270.65,282.51
560,216,824,796.824,6,270.56,132.804
561,440,2450,2305.26,9,270.26,256.14000000000004
562,441,508,2833.76,10,269.94,283.37600000000003
563,406,354,2077.32,4,269.89,519.33
564,442,560,1916.88,7,269.76,273.84000000000003
251,222,84,1212.5,5,269.53,242.5
565,235,50,2404.704,6,269.03,400.78400000000005
566,443,515,1622.565,3,268.19,540.855
308,265,853,856.44,6,268.13,142.74
567,444,173,2887.056,9,268.1,320.784
568,189,1121,1361.043,9,268.04,151.22699999999998
569,445,2372,3391.74,9,267.93,376.85999999999996
570,446,83,2375.296,7,267.78,339.328
571,447,961,889.02,6,267.64,148.17
572,448,174,1782.48,4,266.4,445.62
573,449,601,667.7685,3,266.02,222.58950000000002
574,450,605,1612.845,5,266.0,322.569
575,451,175,845.208,7,265.85,120.744
576,452,918,2799.63,9,265.46,311.07
577,453,918,1549.1286,6,265.14,258.1881
578,454,2,1696.4,4,264.89,424.1
579,455,334,935.5,5,264.43,187.1
580,88,629,2036.8125,9,263.82,226.3125
581,456,176,980.52,4,263.71,245.13
582,46,639,1654.644,8,263.47,206.8305
583,457,3,1525.188,6,263.47,254.198
584,458,86,2063.7684,6,263.01,343.96139999999997
515,410,177,1457.28,8,262.66,182.16
540,427,725,1693.23,7,262.52,241.89000000000001
585,459,5,4164.05,5,262.42,832.8100000000001
586,460,178,1411.2,6,262.11,235.20000000000002
587,461,62,2039.796,4,262.11,509.949
588,321,16,5737.5,9,261.87,637.5
589,462,644,1641.087,7,261.52,234.441
590,463,179,1380.9,5,261.26,276.18
591,464,185,1917.0,3,261.08,639.0
592,465,180,823.5,2,260.6,411.75
204,183,181,872.32,4,260.38,218.08
593,118,2,3180.75,5,260.29,636.15
594,466,1123,2910.1875,11,259.97,264.5625
595,467,136,2348.82,9,259.81,260.98
596,333,27,1924.16,8,259.62,240.52
597,468,942,910.35,5,259.57,182.07
598,469,1188,856.68,2,259.34,428.34
599,470,99,1731.072,7,259.25,247.296
600,471,1046,1330.992,12,259.12,110.916
601,469,182,2573.82,9,258.99,285.98
602,472,394,1914.08,14,258.96,136.72
603,429,16,3393.12,8,258.84,424.14
604,338,183,1079.316,6,258.42,179.886
605,331,297,1446.6,4,258.02,361.65
606,209,36,3272.01,7,257.63,467.43
607,155,184,3386.859,7,257.24,483.837
608,347,1219,728.532,7,257.16,104.07600000000001
609,34,86,2498.526,9,257.16,277.614
610,473,33,2575.92,4,256.87,643.98
